Timestamp,PlaybackTime,UnitQuaternion.x,UnitQuaternion.y,UnitQuaternion.z,UnitQuaternion.w,HmdPosition.x,HmdPosition.y,HmdPosition.z
2016-11-17 02:18:11.462,0.021,-0.010,0.951,-0.011,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.484,0.043,-0.011,0.951,-0.011,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.506,0.064,-0.011,0.951,-0.011,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.525,0.085,-0.011,0.951,-0.011,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.537,0.055,-0.011,0.951,-0.011,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.548,0.055,-0.011,0.951,-0.011,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.559,0.076,-0.011,0.951,-0.011,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.570,0.076,-0.011,0.951,-0.011,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.581,0.097,-0.011,0.951,-0.010,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.592,0.097,-0.011,0.951,-0.010,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.604,0.097,-0.011,0.951,-0.010,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.626,0.140,-0.011,0.951,-0.010,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.639,0.140,-0.011,0.951,-0.010,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.652,0.161,-0.011,0.951,-0.010,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.675,0.183,-0.011,0.951,-0.011,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.697,0.204,-0.011,0.951,-0.011,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.721,0.225,-0.011,0.951,-0.011,-0.309,-0.143,1.135,-0.216
2016-11-17 02:18:11.738,0.247,-0.011,0.951,-0.011,-0.309,-0.143,1.135,-0.216
2016-11-17 02:18:11.749,0.247,-0.011,0.951,-0.011,-0.309,-0.143,1.135,-0.216
2016-11-17 02:18:11.760,0.268,-0.011,0.951,-0.011,-0.309,-0.143,1.135,-0.216
2016-11-17 02:18:11.771,0.268,-0.011,0.951,-0.011,-0.309,-0.143,1.135,-0.216
2016-11-17 02:18:11.782,0.289,-0.011,0.951,-0.011,-0.309,-0.143,1.135,-0.216
2016-11-17 02:18:11.793,0.289,-0.011,0.951,-0.011,-0.309,-0.143,1.135,-0.216
2016-11-17 02:18:11.804,0.311,-0.011,0.951,-0.011,-0.309,-0.143,1.135,-0.216
2016-11-17 02:18:11.815,0.332,-0.012,0.951,-0.011,-0.309,-0.143,1.135,-0.216
2016-11-17 02:18:11.826,0.332,-0.012,0.951,-0.011,-0.309,-0.143,1.135,-0.216
2016-11-17 02:18:11.837,0.353,-0.012,0.951,-0.011,-0.309,-0.143,1.135,-0.216
2016-11-17 02:18:11.849,0.353,-0.012,0.951,-0.011,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.859,0.375,-0.012,0.951,-0.012,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.871,0.375,-0.012,0.951,-0.012,-0.308,-0.143,1.135,-0.216
2016-11-17 02:18:11.882,0.396,-0.012,0.951,-0.012,-0.307,-0.143,1.135,-0.216
2016-11-17 02:18:11.893,0.396,-0.012,0.952,-0.012,-0.307,-0.143,1.135,-0.216
2016-11-17 02:18:11.904,0.417,-0.012,0.952,-0.012,-0.306,-0.143,1.135,-0.216
2016-11-17 02:18:11.916,0.417,-0.013,0.952,-0.012,-0.305,-0.143,1.135,-0.216
2016-11-17 02:18:11.926,0.439,-0.013,0.952,-0.013,-0.304,-0.143,1.135,-0.216
2016-11-17 02:18:11.938,0.439,-0.013,0.953,-0.013,-0.303,-0.143,1.135,-0.216
2016-11-17 02:18:11.949,0.460,-0.013,0.953,-0.014,-0.302,-0.143,1.135,-0.216
2016-11-17 02:18:11.960,0.460,-0.013,0.953,-0.014,-0.301,-0.143,1.135,-0.216
2016-11-17 02:18:11.971,0.481,-0.013,0.954,-0.015,-0.300,-0.142,1.135,-0.216
2016-11-17 02:18:11.983,0.481,-0.013,0.954,-0.015,-0.298,-0.142,1.135,-0.216
2016-11-17 02:18:11.993,0.503,-0.013,0.955,-0.016,-0.297,-0.142,1.135,-0.216
2016-11-17 02:18:12.005,0.524,-0.013,0.955,-0.017,-0.295,-0.142,1.135,-0.216
2016-11-17 02:18:12.016,0.524,-0.013,0.956,-0.018,-0.292,-0.141,1.134,-0.216
2016-11-17 02:18:12.027,0.545,-0.013,0.957,-0.019,-0.289,-0.141,1.134,-0.216
2016-11-17 02:18:12.039,0.545,-0.013,0.958,-0.021,-0.286,-0.140,1.134,-0.216
2016-11-17 02:18:12.050,0.567,-0.013,0.959,-0.023,-0.283,-0.140,1.134,-0.216
2016-11-17 02:18:12.061,0.567,-0.013,0.960,-0.025,-0.279,-0.140,1.134,-0.217
2016-11-17 02:18:12.072,0.588,-0.013,0.961,-0.027,-0.275,-0.140,1.133,-0.217
2016-11-17 02:18:12.083,0.588,-0.014,0.962,-0.029,-0.271,-0.139,1.133,-0.217
2016-11-17 02:18:12.094,0.609,-0.014,0.963,-0.031,-0.266,-0.139,1.133,-0.217
2016-11-17 02:18:12.106,0.609,-0.015,0.965,-0.034,-0.261,-0.138,1.132,-0.218
2016-11-17 02:18:12.116,0.631,-0.015,0.966,-0.037,-0.256,-0.138,1.132,-0.218
2016-11-17 02:18:12.128,0.631,-0.016,0.967,-0.040,-0.250,-0.137,1.131,-0.218
2016-11-17 02:18:12.139,0.652,-0.017,0.969,-0.043,-0.244,-0.136,1.131,-0.218
2016-11-17 02:18:12.150,0.652,-0.017,0.970,-0.046,-0.239,-0.136,1.130,-0.219
2016-11-17 02:18:12.161,0.673,-0.018,0.971,-0.050,-0.232,-0.135,1.130,-0.219
2016-11-17 02:18:12.172,0.673,-0.018,0.973,-0.053,-0.226,-0.135,1.129,-0.219
2016-11-17 02:18:12.183,0.695,-0.019,0.974,-0.057,-0.219,-0.134,1.129,-0.219
2016-11-17 02:18:12.195,0.716,-0.019,0.975,-0.060,-0.213,-0.134,1.128,-0.219
2016-11-17 02:18:12.207,0.716,-0.019,0.976,-0.064,-0.206,-0.133,1.128,-0.220
2016-11-17 02:18:12.217,0.737,-0.019,0.977,-0.067,-0.200,-0.132,1.127,-0.220
2016-11-17 02:18:12.228,0.737,-0.020,0.979,-0.070,-0.193,-0.132,1.127,-0.220
2016-11-17 02:18:12.239,0.737,-0.020,0.980,-0.073,-0.186,-0.131,1.126,-0.220
2016-11-17 02:18:12.250,0.759,-0.020,0.981,-0.074,-0.179,-0.130,1.126,-0.221
2016-11-17 02:18:12.262,0.759,-0.021,0.982,-0.075,-0.173,-0.130,1.126,-0.221
2016-11-17 02:18:12.273,0.780,-0.022,0.983,-0.074,-0.166,-0.129,1.126,-0.221
2016-11-17 02:18:12.284,0.801,-0.022,0.984,-0.073,-0.159,-0.128,1.126,-0.222
2016-11-17 02:18:12.296,0.801,-0.023,0.986,-0.071,-0.152,-0.128,1.126,-0.222
2016-11-17 02:18:12.306,0.823,-0.023,0.987,-0.069,-0.145,-0.127,1.127,-0.222
2016-11-17 02:18:12.317,0.823,-0.024,0.988,-0.068,-0.138,-0.126,1.127,-0.222
2016-11-17 02:18:12.328,0.844,-0.024,0.989,-0.066,-0.130,-0.126,1.127,-0.223
2016-11-17 02:18:12.340,0.844,-0.025,0.990,-0.065,-0.122,-0.125,1.128,-0.223
2016-11-17 02:18:12.351,0.865,-0.025,0.991,-0.063,-0.114,-0.124,1.128,-0.223
2016-11-17 02:18:12.362,0.865,-0.025,0.992,-0.062,-0.106,-0.123,1.128,-0.223
2016-11-17 02:18:12.373,0.887,-0.024,0.993,-0.061,-0.097,-0.122,1.129,-0.223
2016-11-17 02:18:12.385,0.887,-0.023,0.994,-0.061,-0.089,-0.121,1.129,-0.223
2016-11-17 02:18:12.396,0.908,-0.023,0.995,-0.061,-0.081,-0.120,1.129,-0.223
2016-11-17 02:18:12.407,0.908,-0.021,0.995,-0.060,-0.074,-0.119,1.129,-0.223
2016-11-17 02:18:12.418,0.929,-0.020,0.996,-0.060,-0.066,-0.118,1.129,-0.222
2016-11-17 02:18:12.429,0.929,-0.019,0.996,-0.060,-0.058,-0.118,1.129,-0.222
2016-11-17 02:18:12.440,0.951,-0.018,0.997,-0.060,-0.051,-0.117,1.129,-0.222
2016-11-17 02:18:12.452,0.951,-0.017,0.997,-0.060,-0.044,-0.116,1.129,-0.222
2016-11-17 02:18:12.463,0.972,-0.016,0.997,-0.060,-0.037,-0.115,1.129,-0.222
2016-11-17 02:18:12.474,0.993,-0.015,0.998,-0.060,-0.030,-0.114,1.129,-0.222
2016-11-17 02:18:12.485,0.993,-0.014,0.998,-0.060,-0.023,-0.114,1.129,-0.221
2016-11-17 02:18:12.496,1.015,-0.013,0.998,-0.060,-0.016,-0.113,1.129,-0.221
2016-11-17 02:18:12.508,1.015,-0.011,0.998,-0.060,-0.009,-0.112,1.129,-0.221
2016-11-17 02:18:12.518,1.036,-0.010,0.998,-0.061,-0.003,-0.111,1.128,-0.221
2016-11-17 02:18:12.530,1.036,-0.009,0.998,-0.061,0.003,-0.110,1.128,-0.220
2016-11-17 02:18:12.541,1.057,-0.008,0.998,-0.061,0.009,-0.110,1.128,-0.220
2016-11-17 02:18:12.552,1.057,-0.007,0.998,-0.061,0.016,-0.109,1.128,-0.220
2016-11-17 02:18:12.563,1.057,-0.007,0.998,-0.061,0.022,-0.108,1.128,-0.220
2016-11-17 02:18:12.575,1.079,-0.006,0.998,-0.061,0.028,-0.107,1.128,-0.220
2016-11-17 02:18:12.586,1.100,-0.005,0.998,-0.061,0.034,-0.107,1.128,-0.219
2016-11-17 02:18:12.597,1.100,-0.004,0.997,-0.061,0.040,-0.106,1.128,-0.219
2016-11-17 02:18:12.608,1.121,-0.002,0.997,-0.060,0.046,-0.105,1.128,-0.219
2016-11-17 02:18:12.619,1.121,-0.001,0.997,-0.061,0.052,-0.105,1.128,-0.219
2016-11-17 02:18:12.630,1.143,0.000,0.996,-0.061,0.058,-0.104,1.127,-0.219
2016-11-17 02:18:12.642,1.143,0.001,0.996,-0.061,0.064,-0.104,1.127,-0.218
2016-11-17 02:18:12.652,1.164,0.002,0.996,-0.062,0.070,-0.103,1.127,-0.218
